# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 653  of event 'cycles:u'
# Event count (approx.): 3267337602
#
# Overhead  Command          Shared Object     Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# ........  ...............  ................  ........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.19%  yoctui           libc.so.6         [.] clock_gettime@@GLIBC_2.17
     0.19%  yoctui           yoctui            [.] core::ptr::drop_glue::<yoctui_model::pane_layout::PaneNode>
     0.19%  yoctui           yoctui            [.] yoctui::termination_requested
     0.19%  yoctui           yoctui            [.] <alloc::raw_vec::RawVecInner>::finish_grow
     0.18%  yoctui           yoctui            [.] <std::io::error::Error>::kind
     0.18%  yoctui           yoctui            [.] <hashbrown::map::HashMap<alloc::string::String, alloc::string::String, std::hash::random::RandomState> as core::clone::Clone>::clone
     0.18%  yoctui           libc.so.6         [.] alloc_perturb
     0.18%  yoctui           libc.so.6         [.] realloc
     0.18%  yoctui           yoctui            [.] yoctui_ui::inspector
     0.18%  yoctui           yoctui            [.] core::ptr::drop_glue::<serde_core::private::content::Content>
     0.17%  yoctui           yoctui            [.] core::ptr::drop_glue::<alloc::vec::Vec<yoctui_protocol::daemon::CompatibilityCapabilityData>>
     0.17%  yoctui           yoctui            [.] <yoctui_protocol::daemon::CompatibilitySnapshotData as core::clone::Clone>::clone
     0.16%  yoctui           yoctui            [.] <yoctui_model::App>::host_telemetry_projection
     0.16%  yoctui           [unknown]         [k] 0xffffffff91e00ef0
     0.16%  yoctui           yoctui            [.] <alloc::collections::vec_deque::VecDeque<u64>>::grow
     0.15%  yoctui           libc.so.6         [.] __memset_avx2_unaligned_erms
     0.14%  yoctui           [unknown]         [k] 0xffffffff91e00080
     0.14%  yoctui           yoctui            [.] <core::marker::PhantomData<alloc::vec::Vec<yoctui_protocol::RecipeData>> as serde_core::de::DeserializeSeed>::deserialize::<serde::private::de::content::ContentDeserializer<serde_json::error::Error>>
     0.14%  yoctui           yoctui            [.] yoctui_model::workspace_compatibility::workspace_requirement_availability
     0.13%  yoctui           yoctui            [.] <ratatui_widgets::reflow::WordWrapper<core::iter::adapters::map::Map<core::slice::iter::Iter<ratatui_core::text::line::Line>, <ratatui_widgets::paragraph::Paragraph>::render_paragraph::{closure#0}>, core::iter::adapters::flatten::FlatMap<core::slice::iter::Iter<ratatui_core::text::span::Span>, core::iter::adapters::map::Map<core::iter::adapters::filter::Filter<unicode_segmentation::grapheme::Graphemes, <ratatui_core::text::span::Span>::styled_graphemes<ratatui_core::style::Style>::{closure#0}>, <ratatui_core::text::span::Span>::styled_graphemes<ratatui_core::style::Style>::{closure#1}>, <ratatui_core::text::line::Line>::styled_graphemes<ratatui_core::style::Style>::{closure#0}>> as ratatui_widgets::reflow::LineComposer>::next_line
     0.13%  yoctui           yoctui            [.] <yoctui_model::compatibility::CapabilityId>::from_stable_name
     0.11%  yoctui           yoctui            [.] yoctui_model::workspace_compatibility::capability_result
     0.10%  yoctui           yoctui            [.] <&ratatui_widgets::paragraph::Paragraph as ratatui_core::widgets::widget::Widget>::render


#
# (Cannot load tips.txt file, please install perf!)
#
