# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 275  of event 'cycles:u'
# Event count (approx.): 958061705
#
# Overhead  Command          Shared Object                 Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
# ........  ...............  ............................  ........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.58%  yoctui-m52-opti  yoctui-m52-optimized-release  [.] <std::time::Instant>::saturating_duration_since
     0.55%  yoctui-m52-opti  yoctui-m52-optimized-release  [.] core::slice::memchr::memrchr
     0.50%  yoctui-m52-opti  yoctui-m52-optimized-release  [.] <alloc::string::String as core::fmt::Write>::write_str
     0.46%  yoctui-m52-opti  libc.so.6                     [.] __errno_location
     0.46%  yoctui-m52-opti  yoctui-m52-optimized-release  [.] <crossterm::style::types::colored::Colored as core::fmt::Display>::fmt
     0.45%  yoctui-m52-opti  yoctui-m52-optimized-release  [.] <yoctui::client_runtime::InteractiveDaemonRuntime>::flush_task_events
     0.44%  yoctui-m52-opti  [unknown]                     [k] 0xffffffff91e00ef0
     0.44%  yoctui-m52-opti  yoctui-m52-optimized-release  [.] jiff::tz::system::get
     0.43%  yoctui-m52-opti  yoctui-m52-optimized-release  [.] <yoctui_protocol::daemon::CompatibilitySnapshotData as serde_core::ser::Serialize>::serialize::<&mut serde_json::ser::Serializer<&mut alloc::vec::Vec<u8>>>
     0.43%  yoctui-m52-opti  yoctui-m52-optimized-release  [.] unicode_width::tables::lookup_width
     0.41%  yoctui-m52-opti  yoctui-m52-optimized-release  [.] <u64 as itoa::Unsigned>::fmt
     0.41%  yoctui-m52-opti  yoctui-m52-optimized-release  [.] <yoctui_protocol::daemon_ipc::DaemonListener>::accept
     0.40%  yoctui-m52-opti  yoctui-m52-optimized-release  [.] <ratatui_core::buffer::buffer::Buffer>::set_style::<ratatui_core::style::Style>
     0.40%  yoctui-m52-opti  libc.so.6                     [.] recv
     0.40%  yoctui-m52-opti  [vdso]                        [.] 0x00000000000009b1
     0.38%  yoctui-m52-opti  libc.so.6                     [.] clock_gettime@@GLIBC_2.17
     0.38%  yoctui-m52-opti  yoctui-m52-optimized-release  [.] <tokio::sync::mpsc::list::Rx<()>>::pop
